year;row;raw;from;to;precision;style;status
1919;95;14 ноября;1919-11-14;1919-11-14;day;single;ok
1919;96;14 ноября;1919-11-14;1919-11-14;day;single;ok
1919;97;17 ноября;1919-11-17;1919-11-17;day;single;ok
1919;98;19 ноября;1919-11-19;1919-11-19;day;single;ok
1919;99;20 ноября – 16 декабря;1919-11-20;1919-12-16;day;single;ok
1919;100;24 ноября – 12 декабря;1919-11-24;1919-12-12;day;single;ok
1919;101;1 декабря;1919-12-01;1919-12-01;day;single;ok
1919;102;5 декабря;1919-12-05;1919-12-05;day;single;ok
1919;103;8 декабря;1919-12-08;1919-12-08;day;single;ok
1919;104;16 декабря;1919-12-16;1919-12-16;day;single;ok
1919;105;18 декабря;1919-12-18;1919-12-18;day;single;ok
1919;106;19 декабря;1919-12-19;1919-12-19;day;single;ok
1919;107;24 декабря;1919-12-24;1919-12-24;day;single;ok
1920;1;Январь;1920-01-01;1920-01-31;month;single;ok
1920;2;3 января;1920-01-03;1920-01-03;day;single;ok
1920;3;3–10 января;1920-01-03;1920-01-10;day;single;ok
1920;4;4 января;1920-01-04;1920-01-04;day;single;ok
1920;5;5 января;1920-01-05;1920-01-05;day;single;ok
1920;6;7 января;1920-01-07;1920-01-07;day;single;ok
1920;7;10 января;1920-01-10;1920-01-10;day;single;ok
1920;8;11 января – 8 февраля;1920-01-11;1920-02-08;day;single;ok
1920;9;Середина января;1920-01-11;1920-01-20;decade;single;ok
1920;10;16 января;1920-01-16;1920-01-16;day;single;ok
1920;11;17 января;1920-01-17;1920-01-17;day;single;ok
1920;12;21 января;1920-01-21;1920-01-21;day;single;ok
1920;13;22 января;1920-01-22;1920-01-22;day;single;ok
1920;14;30 января;1920-01-30;1920-01-30;day;single;ok
1920;15;31 января;1920-01-31;1920-01-31;day;single;ok
1920;16;2 февраля;1920-02-02;1920-02-02;day;single;ok
1920;17;2 февраля;1920-02-02;1920-02-02;day;single;ok
1920;18;3–8 февраля;1920-02-03;1920-02-08;day;single;ok
1920;19;7 февраля;1920-02-07;1920-02-07;day;single;ok
1920;20;8 февраля;1920-02-08;1920-02-08;day;single;ok
1920;21;18 февраля;1920-02-18;1920-02-18;day;single;ok
1920;22;20 февраля;1920-02-20;1920-02-20;day;single;ok
1920;23;Февраль–март;1920-02-01;1920-03-31;month;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1920;24;Март;1920-03-01;1920-03-31;month;single;ok
1920;25;12 марта;1920-03-12;1920-03-12;day;single;ok
1920;26;13 марта;1920-03-13;1920-03-13;day;single;ok
1920;27;20 марта;1920-03-20;1920-03-20;day;single;ok
1920;28;27 марта;1920-03-27;1920-03-27;day;single;ok
1920;29;Конец марта;1920-03-21;1920-03-31;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1920;30;4 апреля;1920-04-04;1920-04-04;day;single;ok
1920;31;5 апреля;1920-04-05;1920-04-05;day;single;ok
1920;32;6 апреля;1920-04-06;1920-04-06;day;single;ok
1920;33;7 апреля;1920-04-07;1920-04-07;day;single;ok
1920;34;11 апреля;1920-04-11;1920-04-11;day;single;ok
1920;35;22 апреля;1920-04-22;1920-04-22;day;single;ok
1920;36;25 апреля;1920-04-25;1920-04-25;day;single;ok
1920;37;26 апреля;1920-04-26;1920-04-26;day;single;ok
1920;38;28 апреля;1920-04-28;1920-04-28;day;single;ok
1920;39;7 мая;1920-05-07;1920-05-07;day;single;ok
1920;40;11 мая;1920-05-11;1920-05-11;day;single;ok
1920;41;22 мая – 3 июня;1920-05-22;1920-06-03;day;single;ok
1920;42;5 июня;1920-06-05;1920-06-05;day;single;ok
1920;43;6 июня;1920-06-06;1920-06-06;day;single;ok
1920;44;12 июня;1920-06-12;1920-06-12;day;single;ok
1920;45;3 июля;1920-07-03;1920-07-03;day;single;ok
1920;46;4 июля;1920-07-04;1920-07-04;day;single;ok
1920;47;11 июля;1920-07-11;1920-07-11;day;single;ok
1920;48;12 июля;1920-07-12;1920-07-12;day;single;ok
1920;49;14 июля;1920-07-14;1920-07-14;day;single;ok
1920;50;23 июля;1920-07-23;1920-07-23;day;single;ok
1920;51;31 июля;1920-07-31;1920-07-31;day;single;ok
1920;52;7 августа;1920-08-07;1920-08-07;day;single;ok
1920;53;11 августа;1920-08-11;1920-08-11;day;single;ok
1920;54;13–25 августа;1920-08-13;1920-08-25;day;single;ok
1920;55;14 августа;1920-08-14;1920-08-14;day;single;ok
1920;56;15 августа;1920-08-15;1920-08-15;day;single;ok
1920;57;29 августа – 2 сентября;1920-08-29;1920-09-02;day;single;ok
1920;58;1–8 сентября;1920-09-01;1920-09-08;day;single;ok
1920;59;2 сентября;1920-09-02;1920-09-02;day;single;ok
1920;60;13 сентября;1920-09-13;1920-09-13;day;single;ok
1920;61;19–24 сентября;1920-09-19;1920-09-24;day;single;ok
1920;62;2 октября;1920-10-02;1920-10-02;day;single;ok
1920;63;4–12 октября;1920-10-04;1920-10-12;day;single;ok
1920;64;8 октября;1920-10-08;1920-10-08;day;single;ok
1920;65;14 октября;1920-10-14;1920-10-14;day;single;ok
1920;66;12 октября;1920-10-12;1920-10-12;day;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1920;67;22 октября;1920-10-22;1920-10-22;day;single;ok
1920;68;28 октября;1920-10-28;1920-10-28;day;single;ok
1920;69;28 октября – 11 ноября;1920-10-28;1920-11-11;day;single;ok
1920;70;Октябрь–ноябрь;1920-10-01;1920-11-30;month;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1920;71;7–17 ноября;1920-11-07;1920-11-17;day;single;ok
1920;72;11 ноября;1920-11-11;1920-11-11;day;single;ok
1920;73;13–16 ноября;1920-11-13;1920-11-16;day;single;ok
1920;74;26 ноября;1920-11-26;1920-11-26;day;single;ok
1920;75;29 ноября;1920-11-29;1920-11-29;day;single;ok
1920;76;2 декабря;1920-12-02;1920-12-02;day;single;ok
1920;77;Декабрь;1920-12-01;1920-12-31;month;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
